桩号（km）,识别宽度（m）,破损率dr(%),网裂（㎡）,纵向裂缝（m）,横向裂缝（m）,坑槽（㎡）
1.706,2.4,0,0,0,0,0
1.716,2.4,0,0,0,0,0
1.726,2.4,0,0,0,0,0
1.736,2.4,0,0,0,0,0
1.746,2.4,0,0,0,0,0
1.756,2.4,0,0,0,0,0
1.766,2.4,0,0,0,0,0
1.776,2.4,0,0,0,0,0
1.786,2.4,0,0,0,0,0
1.796,2.4,0,0,0,0,0
1.806,2.4,0,0,0,0,0
1.816,2.4,0,0,0,0,0
1.826,2.4,0,0,0,0,0
1.836,2.4,0,0,0,0,0
1.846,2.4,0,0,0,0,0
1.856,2.4,0,0,0,0,0
1.866,2.4,0,0,0,0,0
1.876,2.4,0,0,0,0,0
1.886,2.4,0,0,0,0,0
1.896,2.4,0,0,0,0,0
1.906,2.4,0,0,0,0,0
1.916,2.4,0,0,0,0,0
1.926,2.4,0,0,0,0,0
1.936,2.4,0,0,0,0,0
1.946,2.4,0,0,0,0,0
1.956,2.4,0,0,0,0,0
1.966,2.4,0,0,0,0,0
1.976,2.4,0,0,0,0,0
1.986,2.4,0,0,0,0,0
1.996,2.4,0,0,0,0,0
2.006,2.4,0,0,0,0,0
2.016,2.4,0,0,0,0,0
2.026,2.4,0,0,0,0,0
2.036,2.4,0,0,0,0,0
2.046,2.4,0,0,0,0,0
2.056,2.4,0,0,0,0,0
2.066,2.4,0,0,0,0,0
2.076,2.4,0,0,0,0,0
2.086,2.4,0,0,0,0,0
2.096,2.4,0,0,0,0,0
2.106,2.4,0,0,0,0,0
2.116,2.4,0,0,0,0,0
2.126,2.4,0,0,0,0,0
2.136,2.4,0,0,0,0,0
2.146,2.4,0,0,0,0,0
2.156,2.4,0,0,0,0,0
2.166,2.4,0,0,0,0,0
