×®ºÅ£¨km£©,Ê¶±ð¿í¶È£¨m£©,ÆÆËðÂÊ DR£¨£¥£©,ÍøÁÑ£¨©O£©,×ÝÏòÁÑ·ì£¨m£©,ºáÏòÁÑ·ì£¨m£©,¿Ó²Û£¨©O£©
3.11,2.7,0,0,0,0,0
3.12,2.7,0,0,0,0,0
3.13,2.7,0,0,0,0,0
3.14,2.7,0,0,0,0,0
3.15,2.7,0,0,0,0,0
3.16,2.7,0,0,0,0,0
3.17,2.7,0,0,0,0,0
3.18,2.7,4.88888888888889,0,6.6,0,0
3.19,2.7,3.03703703703704,0,4.1,0,0
3.2,2.7,0,0,0,0,0
3.21,2.7,0,0,0,0,0
3.22,2.7,0,0,0,0,0
3.23,2.7,0,0,0,0,0
3.24,2.7,0,0,0,0,0
3.25,2.7,1.85185185185185,0,0,2.5,0
3.26,2.7,0,0,0,0,0
3.27,2.7,0,0,0,0,0
3.28,2.7,0.666666666666667,0,0,0.9,0
3.29,2.7,0,0,0,0,0
3.3,2.7,0,0,0,0,0
3.31,2.7,0.740740740740741,0,0,1,0
3.32,2.7,0,0,0,0,0
3.33,2.7,0,0,0,0,0
3.34,2.7,0,0,0,0,0
3.35,2.7,6.2962962962963,0,7.5,1,0
3.36,2.7,5.92592592592593,0,8,0,0
3.37,2.7,5.11111111111111,0,6.9,0,0
3.38,2.7,5.77777777777778,0,7.8,0,0
3.39,2.7,2.07407407407407,0,2.8,0,0
3.4,2.7,0,0,0,0,0
3.41,2.7,0,0,0,0,0
3.42,2.7,0,0,0,0,0
3.43,2.7,1.55555555555556,0,0.6,1.5,0
3.44,2.7,3.33333333333333,0,4.5,0,0
3.45,2.7,0.814814814814815,0,1.1,0,0
3.46,2.7,0,0,0,0,0
3.47,2.7,0.740740740740741,0,0,1,0
3.48,2.7,0,0,0,0,0
3.49,2.7,0,0,0,0,0
3.5,2.7,0,0,0,0,0
3.51,2.7,2.51851851851852,0,0.6,2.8,0
3.52,2.7,0,0,0,0,0
3.53,2.7,0,0,0,0,0
3.54,2.7,0,0,0,0,0
3.55,2.7,0,0,0,0,0
3.56,2.7,0,0,0,0,0
3.57,2.7,0,0,0,0,0
3.58,2.7,0,0,0,0,0
3.59,2.7,1.03703703703704,0,0,1.4,0
3.6,2.7,1.25925925925926,0,0,1.7,0
3.61,2.7,0,0,0,0,0
3.62,2.7,0,0,0,0,0
3.63,2.7,0,0,0,0,0
3.64,2.7,0,0,0,0,0
3.65,2.7,0,0,0,0,0
3.66,2.7,0,0,0,0,0
3.67,2.7,1.18518518518519,0,0,1.6,0
3.68,2.7,0,0,0,0,0
3.69,2.7,0,0,0,0,0
3.7,2.7,0,0,0,0,0
3.71,2.7,0,0,0,0,0
3.72,2.7,0,0,0,0,0
3.73,2.7,0,0,0,0,0
3.74,2.7,0,0,0,0,0
3.75,2.7,0,0,0,0,0
3.76,2.7,0,0,0,0,0
3.77,2.7,0,0,0,0,0
3.78,2.7,0,0,0,0,0
3.79,2.7,0,0,0,0,0
3.8,2.7,0,0,0,0,0
